scenario,profit_mean,profit_per_trade_mean,trade_count_mean,total_fees_mean,episode_max_dd_mean,fees_profit_ratio
baseline,241.53906063027316,0.34452157150331875,641.5833333333334,127.33601731881284,0.24922528937991476,0.5271860252604347
mask__price_seq_target,186.83501834585152,0.27578627285827034,608.75,114.94102145897934,0.25580406795822397,0.6152006324971224
mask__price_seq_others,91.02732293674734,0.1381284322297808,651.1666666666666,106.00763867970566,0.24935237771889898,1.164569442005537
mask__price_seq_1d_target,34.96439464007699,-0.019652078802938372,687.5,91.46953343408398,0.26173952548987117,2.6160765651935387
mask__price_seq_1d_others,123.8452319666881,0.22239426548810293,585.8333333333334,76.24009964466498,0.34588434700363857,0.6156078714856947
mask__gate_flags,244.28128604758953,0.35215867747239976,633.8333333333334,128.0577343862827,0.23903030910493928,0.5242224505127879
mask__regime_score,252.10783328897398,0.365829667129149,631.6666666666666,128.7896634494475,0.23642977928914066,0.5108514946531816
candidate__baseline_current,239.88534643634975,0.3419853384008667,641.0833333333334,128.06204797511936,0.25017894647405875,0.5338468976015542
candidate__ultra_minimal,107.71860475203374,0.19017797922077495,621.9166666666666,88.76997063988188,0.28805799436736135,0.8240913521320549
candidate__minimal_signal,110.6324015355596,0.18771230348499948,606.0833333333334,89.78923731078577,0.24876637007427915,0.8115998212506089
candidate__minimal_plus_entry_filter,82.7955769148506,0.15596719712910564,557.5,78.60311689320154,0.27515652708036553,0.949363719924789
