timestamp,closed_bar_ts,last_price,paper_equity_usdt,paper_profit_usdt,cumulative_fee_usdt,fee_rate_pct,action_raw,action_clipped,target_pos_pct,final_pos_pct,decision_step
2026-03-21 03:50:56,2026-03-20 19:50:00,69916.0,999.9300000011921,-0.06999999880792984,0.06999999880790711,0.01,0.9529194831848145,0.7,0.699999988079071,0.699999988079071,1
2026-03-21 03:55:14,2026-03-20 19:55:00,70130.0,1002.0724210700357,2.072421070035716,0.06999999880790711,0.01,0.8920743465423584,0.7,0.699999988079071,0.699999988079071,2
2026-03-21 03:55:15,2026-03-20 19:55:00,70130.0,1002.0724210700357,2.072421070035716,0.06999999880790711,0.01,0.9831528663635254,0.7,0.699999988079071,0.699999988079071,2
2026-03-21 03:57:03,2026-03-20 19:55:00,70116.8,1001.9403927082362,1.9403927082362316,0.06999999880790711,0.01,0.9694969654083252,0.7,0.699999988079071,0.699999988079071,3
2026-03-21 03:59:23,2026-03-20 19:55:00,70095.6,1001.7283351817294,1.7283351817294488,0.06999999880790711,0.01,0.9857124090194702,0.7,0.699999988079071,0.699999988079071,4
2026-03-21 04:00:15,2026-03-20 20:00:00,70114.7,1001.9193881961316,1.9193881961316492,0.06999999880790711,0.01,0.8498291969299316,0.7,0.699999988079071,0.699999988079071,3
2026-03-21 04:00:16,2026-03-20 20:00:00,70114.7,1001.9132571223707,1.9132571223707373,0.07614722104250163,0.01,0.6386455297470093,0.6386455297470093,0.6386455297470093,0.6386455297470093,5
2026-03-21 04:01:16,2026-03-20 20:00:00,70124.6,1001.9919168198402,1.9919168198401849,0.08783501826769703,0.01,0.5220012664794922,0.5220012664794922,0.5220012664794922,0.5220012664794922,6
2026-03-21 04:05:07,2026-03-20 20:05:00,70075.3,1001.5252777420349,1.5252777420348593,0.06999999880790711,0.01,0.9710350036621094,0.7,0.699999988079071,0.699999988079071,4
2026-03-21 04:05:15,2026-03-20 20:05:00,70067.1,1001.5452116655019,1.5452116655019381,0.10566271232843612,0.01,0.8765681982040405,0.7,0.699999988079071,0.699999988079071,7
2026-03-21 04:10:08,2026-03-20 20:10:00,70140.9,1002.2836441788143,2.2836441788142565,0.10566271232843612,0.01,0.8888342380523682,0.7,0.699999988079071,0.699999988079071,8
2026-03-21 04:10:18,2026-03-20 20:10:00,70156.0,1002.2624768525328,2.2624768525328136,0.14016328242256382,0.01,-0.042397916316986084,-0.042397916316986084,0.0,0.0,5
2026-03-21 04:15:17,2026-03-20 20:15:00,70165.9,1002.5337117353245,2.5337117353244594,0.10566271232843612,0.01,0.7548949718475342,0.7,0.699999988079071,0.699999988079071,9
2026-03-21 04:35:42,2026-03-20 20:35:00,69766.8,998.5420599746003,-1.4579400253996937,0.10566271232843612,0.01,0.9024507999420166,0.7,0.699999988079071,0.699999988079071,10
2026-03-21 04:40:21,2026-03-20 20:40:00,69810.7,998.9119564469404,-1.088043553059606,0.17559144309999675,0.01,0.30645573139190674,0.30645573139190674,0.0,0.0,11
2026-03-21 04:45:17,2026-03-20 20:45:00,69905.0,998.9119564469404,-1.088043553059606,0.17559144309999675,0.01,0.3663780689239502,0.3663780689239502,0.0,0.0,12
2026-03-21 04:50:12,2026-03-20 20:50:00,70033.6,998.8450830788539,-1.1549169211460821,0.2424648111864818,0.01,-0.6694620847702026,-0.6694620847702026,-0.6694620847702026,-0.6694620847702026,13
2026-03-21 04:55:20,2026-03-20 20:55:00,69985.5,999.2900141813052,-0.709985818694804,0.2567980711532444,0.01,-0.5260297060012817,-0.5260297060012817,-0.5260297060012817,-0.5260297060012817,14
2026-03-21 05:00:16,2026-03-20 21:00:00,70038.3,998.8760592691816,-1.12394073081839,0.2741758484541073,0.01,-0.7950766682624817,-0.7,-0.699999988079071,-0.699999988079071,15
