#{"t_start": 1772680299.729786, "env_id": "None"}
r,l,t
-1.7731429,6873,720.288751
-1.7635304,6949,721.942193
-1.7953377,8801,728.099303
-1.7242397,4502,728.618494
-1.8018975,7834,735.256454
-1.7298474,8928,739.323492
-0.5075881,8928,740.213179
-1.8143191,7878,752.090192
-1.7881334,7112,753.667403
-1.542645,8928,754.869498
-1.7957025,8847,758.256966
-1.7621561,6491,760.557717
-1.7916874,7464,762.000669
-1.7029566,8928,763.781345
-1.7816839,6914,763.828351
-0.5294978,8928,764.987157
-0.5295917,8928,765.085669
-1.8166822,8667,767.64776
-1.2358423,8928,769.197065
-0.5377131,8928,773.17932
-1.8080856,7341,775.142516
-0.54184294,8928,777.704144
-1.1156373,8928,779.80992
-1.8032074,7648,779.895425
-0.5437619,8928,780.078952
-1.8192954,8807,780.359124
-0.5442179,8928,780.640179
-1.8174183,8741,782.26919
-1.8321062,7863,783.11151
-1.7616552,8928,783.580616
-1.7069155,8928,785.655082
-1.6225681,8928,787.290216
-1.8538206,8928,789.721314
-1.5747988,8928,790.556564
-0.98110354,8928,795.327308
-1.6658437,8928,797.141252
-1.5226843,8928,798.970399
-1.646804,8928,799.245001
-1.8033288,7552,799.711955
-1.7148616,8928,801.080337
-1.7625114,8928,802.373899
-1.8227569,7873,803.684182
-1.7705393,6007,804.022214
-1.6956261,8928,808.704938
-0.86854637,8928,814.847792
-1.7253546,8928,815.310931
-0.63736975,8928,835.705468
-1.8540348,8928,839.254752
-1.8214488,7604,842.764412
-1.8680449,6805,843.796436
-1.851694,8183,851.556883
-1.8522778,8259,858.044207
-1.826175,6832,861.433197
-1.8655964,7383,875.685242
-1.8343061,7214,875.834267
-1.8444666,7146,880.934312
-1.8620956,7488,889.581263
-1.9084955,8362,898.045011
-1.86837,7237,898.376163
-0.64735085,8928,899.297021
-1.8415354,6485,904.189248
-1.8521967,7050,905.723693
-0.6591114,8928,911.887889
-1.8913877,8606,913.657241
-1.8979319,8391,916.199579
-1.8973876,8683,916.515672
-1.8169637,5835,917.693334
-1.8905255,8063,918.34686
-1.8985184,8329,918.715178
-1.9216998,8657,929.715911
-1.79789,5176,930.015556
-1.8151009,5538,932.730696
-1.8749516,8928,933.158194
-1.8230096,5596,942.088453
-1.8409644,6429,947.0839
-1.870462,7044,957.044652
-1.8689381,7401,957.295137
-1.866989,6925,964.698946
-1.8975803,7797,966.274166
-0.69231415,8928,968.667781
-1.8512399,6262,972.555063
-1.9235152,8858,973.270544
-1.9597461,7839,981.56293
-1.9260548,8149,984.421332
-1.9222612,8371,997.907136
-1.8835428,7531,998.305734
-1.814283,8928,1003.433758
-0.7063909,8928,1005.685553
-1.6276231,8928,1012.19847
-1.8811094,6988,1012.395714
-1.9016777,7914,1014.348145
-1.890893,7240,1015.117568
-0.7134976,8928,1022.81087
-1.909225,8928,1025.272083
-1.6514932,8928,1033.256238
-1.8767067,8055,1033.606236
-0.7225199,8928,1044.753216
-1.9154098,7495,1044.995272
-0.7245656,8928,1049.312261
-1.6870087,8928,1053.276436
-0.7270867,8928,1054.131253
-1.9303948,8217,1054.548551
-0.72738284,8928,1054.629587
-0.73271316,8928,1064.142365
-1.6949017,8928,1067.212271
-1.9605303,8894,1071.977518
-0.74889356,8928,1093.566659
-1.9092704,8928,1099.142616
-1.9434452,8449,1099.469554
-0.7609333,8928,1119.909776
-1.9292992,7416,1135.273214
-1.945071,8268,1137.521553
-1.8975396,6651,1144.159548
-1.8855443,6091,1151.531746
-1.7061815,8928,1160.128162
-1.9152166,6671,1161.510943
-1.8752811,5833,1173.237901
-1.704971,8928,1173.590237
-0.7901452,8928,1175.488847
-1.8760248,4823,1180.977767
-1.6264657,8928,1190.460345
-1.9127687,6969,1193.152569
-1.9733082,8253,1205.741358
-1.9772798,8292,1207.727066
-1.4595455,8928,1209.265924
-1.9360878,6982,1216.270739
-1.979772,7359,1219.320338
-1.911418,6622,1223.909354
-1.7850525,6889,1224.183272
-1.9525518,6794,1243.83464
-1.9742359,7696,1250.526911
-1.9573313,7453,1262.060132
-1.9992796,8617,1262.837033
-1.9888391,7848,1263.176984
-2.0003405,7952,1265.069227
-1.9492369,7130,1271.818949
-1.9512792,7073,1280.828215
-2.0142486,7159,1287.865889
-1.0840662,8928,1288.544548
-2.0290537,8395,1302.133369
-1.920946,6198,1305.054542
-1.9649448,6698,1308.260821
-0.8620206,8928,1309.793667
-1.9828081,7329,1319.073978
-0.86919487,8928,1321.66896
-2.0060217,7754,1324.802872
-1.9804965,6928,1326.252266
-0.8798934,8928,1339.623159
-1.9276233,6256,1345.805656
-2.050071,8531,1347.905503
-1.9274802,8928,1349.285596
-1.8346629,8928,1356.352782
-2.0065124,7451,1358.964331
-1.9999192,7292,1363.115382
-0.89908284,8928,1372.834689
-1.9406208,5846,1374.238677
-2.0620441,8372,1381.364832
-2.0630076,8754,1381.428087
-0.90996444,8928,1393.826685
-1.851488,8928,1396.009849
-2.0139813,8126,1398.875838
-0.91462624,8928,1402.165996
-1.7291033,8928,1402.348449
-0.92256933,8928,1414.245086
-1.7221166,4661,1415.294171
-1.9725949,6660,1424.931539
-2.0789661,8558,1425.355942
-2.016193,7577,1427.635329
-1.9400799,8928,1437.055362
-1.1210293,8928,1441.977693
-0.9402869,8928,1442.471416
-1.4386654,8928,1442.548427
-0.9449424,8928,1451.892162
-2.0532515,8928,1454.99694
-2.098519,8303,1459.20117
-2.0247316,7671,1466.123073
-2.0882232,8810,1475.311532
-2.124467,7204,1482.720567
-2.0262623,7290,1486.755609
-2.0990398,8207,1497.779715
-2.0036364,6845,1516.111658
-2.089723,8686,1525.361946
-2.074699,8264,1530.601103
-2.0765479,7999,1533.61473
-2.0477371,7322,1536.940372
-1.9244792,5084,1542.964302
-2.0857334,8166,1543.303548
-0.9928443,8928,1544.360174
-1.9876099,8928,1545.95336
-2.0583475,7249,1553.7672
-2.068898,7946,1559.871674
-1.0019516,8928,1565.086993
-2.0924888,7366,1578.082628
-2.1476285,8781,1584.787454
-2.0988605,7883,1588.181952
-2.0895705,8928,1589.108615
-1.560453,8928,1592.541883
-2.0459926,7440,1600.421481
-2.0974715,7970,1614.042692
-2.0871723,7326,1617.218091
-2.046538,6965,1621.465417
-2.051862,7065,1630.059476
-1.9741927,5700,1638.758745
-1.9950802,6057,1641.564701
-2.1606824,8831,1641.672413
-1.0403382,8928,1646.231875
-1.7924504,8928,1648.175719
-2.1214032,8388,1648.979295
-2.0524113,6991,1659.255223
-2.1225057,8138,1668.91818
-1.6680214,8928,1671.047915
-2.00609,6279,1671.748674
-2.081595,7477,1677.113907
-2.0937066,7468,1683.448352
-1.0605403,8928,1688.396054
-2.1632252,8877,1690.868033
-1.8778224,8928,1691.502024
-2.0390816,6466,1693.057243
-2.0949912,7477,1701.822987
-2.145007,8455,1711.325761
-2.0884798,7496,1719.9699
-1.0739615,8928,1721.392119
-2.0828245,7629,1722.636638
-2.195293,8861,1725.06955
-1.0770979,8928,1730.21225
-2.046909,6763,1732.343437
-2.084151,6945,1740.200483
-2.102671,7619,1740.596992
-2.0721102,7360,1743.050565
-2.170588,8659,1743.120768
-2.1340594,8038,1745.896192
-2.0251834,6598,1748.840416
-1.9697062,8928,1755.416675
-2.1337137,7927,1764.081063
-2.1530623,7207,1782.760366
-1.9752337,5263,1783.149642
-2.1008773,7010,1785.772762
-2.1680613,8119,1789.125487
-2.0803208,6882,1791.305443
-1.972956,8928,1806.247557
-2.1493404,7610,1807.451314
-2.074518,8928,1819.001971
-1.2168766,8928,1833.64805
-1.6618699,8928,1836.623334
-1.9597758,8928,1840.758829
-2.1449304,7533,1858.536776
-2.1439826,7529,1864.628144
-2.161535,7898,1882.78437
-2.1322782,7391,1892.7046
-2.1953595,8915,1897.281441
-2.1660378,7887,1901.407331
-2.050054,8928,1907.349604
-1.9814065,5147,1907.6045
-2.1102123,7594,1908.268471
-1.8146122,8928,1912.411535
-1.1528996,8928,1915.37909
-2.0606174,7582,1923.644521
-2.0375214,5906,1923.660521
-2.2284145,8928,1924.807819
-2.0802486,8928,1926.137992
-1.8640965,8928,1935.28979
-2.1808546,8147,1935.783915
-2.0392172,6093,1937.456109
-2.1510544,7773,1945.747152
-1.2717588,8928,1970.249838
-1.183694,8928,1973.578062
-2.055945,5889,1976.822891
-2.2065911,8022,1981.064663
-2.2493558,8639,1985.91922
-2.049244,5890,1992.188543
-2.1902215,7801,2002.003292
-1.1874574,8928,2002.522517
-2.1759946,8928,2011.434452
-2.1528645,7500,2011.609061
-2.181317,7544,2015.416874
-2.0917926,6415,2017.923585
-2.2312357,8816,2022.474095
-1.8743963,8928,2022.66061
-1.9841548,8928,2022.762827
-2.2103286,8928,2029.159727
-1.9412358,8928,2030.000899
-2.2451324,8759,2032.847615
-2.2305775,8202,2033.575388
-2.222928,8331,2047.356049
-2.1255,7058,2048.136861
-2.2193074,7884,2048.216059
-2.2480407,8123,2048.831244
-2.0394404,5670,2051.2027
-1.821643,8928,2052.416206
-2.105977,6527,2063.515
-2.195571,7868,2066.13569
-2.0038145,5082,2082.836007
-2.1276352,6587,2101.719945
-2.1881382,8928,2101.812452
-1.9403998,8928,2103.284492
-2.2524114,8427,2103.765105
-1.9972662,8928,2104.434321
-1.1712414,8928,2113.806667
-2.103311,8928,2122.023649
-2.217297,7765,2124.269447
-2.0966928,6225,2125.138469
-1.2878275,8928,2130.365582
-2.1893055,7592,2131.595171
-2.2251477,8118,2133.552485
-2.1852012,8928,2137.224891
-2.0040874,5653,2142.805066
-1.2468755,8928,2146.17238
-2.2979093,8885,2163.641354
-2.0112607,8928,2170.438538
-2.1363811,6523,2185.082146
-2.1084058,6072,2193.774951
-2.271216,8477,2200.904918
-1.9780823,5269,2202.852132
-2.3002295,8901,2211.455371
-2.23216,7603,2214.770756
-2.1266086,8928,2215.565469
-2.180544,6955,2217.29837
-2.2348077,7916,2218.180813
-2.1474044,7008,2230.663742
-2.2178123,7834,2238.415835
-2.2550786,8024,2250.810243
-2.1285028,5796,2253.757957
-2.2355335,7778,2253.819957
-2.2767086,8163,2259.492468
-2.1045463,6252,2264.061206
-1.5062568,8928,2274.085133
-2.3355346,8928,2283.569481
-2.1561737,6077,2286.667145
-2.1011124,5840,2295.631927
-2.1109078,8928,2299.098239
-2.062586,8928,2300.265793
-2.2715743,8085,2309.097272
-1.3157709,8928,2310.785559
-2.1867332,6763,2311.547982
-2.2717335,7989,2311.629996
-1.7577951,8928,2320.410619
-2.216588,7076,2325.348621
-2.0248423,8928,2347.212766
-2.3478963,8580,2351.068507
-1.9976647,6009,2352.620381
-2.2475843,7659,2352.981229
-2.288817,8928,2356.549133
-2.1648088,6263,2357.606493
-2.2498085,7516,2357.980862
-2.3332078,8357,2360.602762
-2.2862961,8246,2360.656936
-2.2937942,7860,2365.509808
-1.3452505,8928,2365.517809
-2.3500023,8764,2368.550989
-2.1231322,8928,2370.154616
-2.2746627,8172,2374.301027
-2.2157936,8928,2376.062524
-1.3529254,8928,2376.160035
-2.2002077,7960,2377.486938
-2.2639875,7601,2378.07551
-2.3615239,8659,2383.889793
-2.2701023,7456,2385.767604
-2.2131667,6993,2387.212905
-1.362682,8928,2389.529703
-2.3209085,8928,2398.252494
-2.3045986,7855,2400.61972
-2.2697363,7438,2402.005263
-2.2737448,7408,2403.304931
-2.325824,8115,2411.193447
-2.3161106,7998,2413.020683
-2.1711652,6250,2413.255377
