time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity
2022-12-26 07:00:00,11.274,11.307,11.256,11.303,3429976.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 08:00:00,11.305,11.305,11.261,11.277,4066312.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 09:00:00,11.277,11.345,11.267,11.301,3344759.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 10:00:00,11.302,11.35,11.301,11.317,4551425.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 11:00:00,11.318,11.365,11.3,11.339,8065743.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 12:00:00,11.341,11.37,11.316,11.355,3363990.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 13:00:00,11.355,11.374,11.272,11.298,6431790.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 14:00:00,11.297,11.3,11.264,11.298,5929544.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 15:00:00,11.297,11.305,11.064,11.169,13698363.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 16:00:00,11.17,11.232,11.05,11.197,13836377.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 17:00:00,11.196,11.198,11.135,11.168,4342138.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 18:00:00,11.167,11.178,11.132,11.156,3486281.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 19:00:00,11.156,11.205,11.143,11.174,3429377.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 20:00:00,11.173,11.217,11.173,11.208,3406328.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 21:00:00,11.208,11.274,11.192,11.209,5656630.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
