time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity
2020-12-25 18:00:00,623.7,626.86,619,626.29,86567785.52045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25 19:00:00,626.33,634.96,623.7,629.81,166775220.39904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25 20:00:00,629.78,632.57,625.65,625.78,85246800.67943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25 21:00:00,625.78,629.85,625.6,628.76,45177290.56274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25 22:00:00,628.76,630.1,614.3,619.5,147838408.85594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25 23:00:00,619.5,623.5,612.71,613.86,87390820.96183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 00:00:00,613.83,624.53,612,613.65,118773640.53958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 01:00:00,613.64,618.03,608.24,615.91,77719601.83068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 02:00:00,615.91,620.15,613.76,618.05,44446064.78199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 03:00:00,618.12,622.28,614.86,619.64,48779599.59624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 04:00:00,619.64,622.1,616.18,620.9,34948976.24035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 05:00:00,620.91,622.36,616.56,619.17,27293835.33025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 06:00:00,619.18,623.22,618.06,622.51,31024020.96402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 07:00:00,622.52,628.66,621.44,627.18,69438137.03124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 08:00:00,627.17,629.79,623.98,625.52,54519184.97635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 09:00:00,625.63,630,621.57,628.02,60337064.83451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 10:00:00,628.01,630,625.46,626.62,40543227.05557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 11:00:00,626.62,637.72,626.39,634.45,91593100.58408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 12:00:00,634.44,635.15,630.2,630.7,47631866.31728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 13:00:00,630.7,631.6,626.33,626.79,43137668.52919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 14:00:00,626.8,630,625.36,629.08,35760836.58703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 15:00:00,629.07,629.42,622,625.16,46788409.62343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 16:00:00,625.17,632.36,624.12,628.01,63604043.42064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 17:00:00,628,628.37,620.01,623.15,69215251.21958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 18:00:00,623.22,624.66,615.1,619.34,75375752.89285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 19:00:00,619.34,624,616.2,622.76,51617924.95944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 20:00:00,622.77,627.99,620.07,624.49,75881365.68803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 21:00:00,624.5,626.98,620.51,623.39,43843540.85149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 22:00:00,623.39,634.43,621.13,630.05,140516096.87975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26 23:00:00,630.06,631.5,626.09,628.77,78411481.3565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 00:00:00,628.79,651.4,627.86,648.42,286561780.77583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 01:00:00,648.38,649.65,642.05,644.12,85499296.6857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 02:00:00,644.14,647.69,640,642.41,74067395.03802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 03:00:00,642.42,647.75,642,645.85,37687291.92152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 04:00:00,645.86,652.52,642.33,649.4,105124225.91422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 05:00:00,649.48,654.32,646.02,648.2,117116114.85271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 06:00:00,648.2,648.96,628.65,634.6,176808947.27346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 07:00:00,634.59,639.83,632.07,637.9,79324715.77795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 08:00:00,637.89,643.11,635.4,638.82,69035466.76923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 09:00:00,638.81,645.25,638.6,642.03,84462545.4355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 10:00:00,642.05,653.9,640.69,646.59,116303463.25814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 11:00:00,646.66,647.7,641.21,644.04,53999538.02723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 12:00:00,644.21,646.16,642.49,644.29,36256835.41772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 13:00:00,644.28,648.14,643.57,646.47,33259654.54598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 14:00:00,646.48,657.59,646.46,652.55,129038171.17363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 15:00:00,652.55,654.85,648.4,650.94,63417451.70163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 16:00:00,650.95,654.94,642.2,644.61,110763493.45631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 17:00:00,644.84,649.48,640.52,647.83,89023419.56507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 18:00:00,647.81,648.5,643.5,647.01,41747597.96945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 19:00:00,647,651.41,625,639,235368585.37667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 20:00:00,639,639.1,627,635.05,169570431.55483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 21:00:00,635.05,649.43,633.31,649.1,101044258.09468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 22:00:00,649.26,691,647.33,686.43,632125093.82404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27 23:00:00,686.52,701.19,680.88,699.83,459897452.26818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28 00:00:00,699.89,718.75,687.7,698.56,628210300.7097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28 01:00:00,698.46,698.76,684,691.52,177838891.76059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28 02:00:00,691.53,696.99,687.56,694.81,104704194.39781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28 03:00:00,694.82,708.84,693.17,706.71,136530532.92518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
