symbol,time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,taker_buy_sell_volume_taker_buy_volume_usd,taker_buy_sell_volume_taker_sell_volume_usd
BTCUSDT,2020-03-19,5401.15,6400,5246.5,6167.93,2828789130.51056,108380175,127535401,103720375,123320784,0,0,0,0,1324240542.33185,1504548588.17871
ETHUSDT,2020-03-19,118.8,143.34,115.5,136.73,261612338.20753,14448214,17487964,13870890,16656687,0,0,0,0,126999279.26274,134613058.94479
