time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity
2023-03-09,0.07108,0.07227,0.0638,0.0659,517471946.0497,104781162,109105522,86969575,91473417,0.005936,0.01,-0.024313,-0.023703,0.00582799,0.01391918,-0.02040787,-0.01985852,,,,,84.76,15.24,5.56,82.89,17.11,4.85,60.0,40.0,1.5,797215.586711,23275.83702,1625378.759231,23306.58662,,,,,,,,
2023-03-10,0.0659,0.06614,0.06244,0.06567,458999149.4438,91473417,91564406,81818448,83908814,-0.023703,0.007579,-0.025602,0.002547,-0.01985852,0.00574911,-0.02216319,0.00139174,,,,,85.13,14.87,5.73,84.03,15.97,5.26,56.63,43.37,1.31,432805.559124,107698.603847,686092.220297,159063.218912,,,,,,,,
2023-03-11,0.06567,0.06816,0.06305,0.06601,406655794.1291,83908814,87546390,77415875,81965018,0.002547,0.01,-0.004433,0.01,0.00139174,0.02026678,-0.02452424,-0.00093043,,,,,83.23,16.77,4.96,82.0,18.0,4.56,54.41,45.59,1.19,382604.623463,159689.163706,488473.451646,323160.59154,,,,,,,,
2023-03-12,0.06602,0.07085,0.06512,0.0705,346617323.0584,81965018,83165919,79586979,82840838,0.01,0.01,0.000814,0.01,-0.00093043,0.01257867,-0.03328757,-0.01664132,,,,,81.15,18.85,4.31,79.01,20.99,3.76,53.3,46.7,1.14,24414.421234,522488.501101,26126.130003,567854.992828,,,,,,,,
2023-03-13,0.0705,0.07349,0.0681,0.07276,478380622.8939,82840838,88034515,80375727,86903848,0.01,0.01,-0.001899,0.005331,-0.01664132,0.02164493,-0.01664132,0.00752358,,,,,79.49,20.51,3.88,76.64,23.36,3.28,56.59,43.41,1.3,172504.358441,415101.608374,195303.652357,461173.601997,,,,,,,,
2023-03-14,0.07276,0.07768,0.07106,0.07461,667431263.9537,86903848,101761887,85387514,98326890,0.005331,0.040319,0.005331,0.035094,0.00752358,0.02462594,0.00027059,0.02214863,,,,,78.72,21.28,3.7,76.95,23.05,3.34,59.71,40.29,1.48,264610.299355,205704.268541,370430.278628,247576.846962,,,,,,,,
2023-03-15,0.0746,0.07596,0.0673,0.0696,600483298.2649,98326890,102562394,88516485,89306289,0.035094,0.036943,0.01,0.01,0.02214863,0.0302023,-0.00042888,0.00630863,,,,,78.11,21.89,3.57,76.4,23.6,3.24,59.96,40.04,1.5,1303556.814226,49946.654031,1462319.568132,73518.691717,,,,,,,,
2023-03-16,0.0696,0.07406,0.06869,0.07253,447921875.225,89306289,100064612,88196137,97787790,0.01,0.01,0.01,0.01,0.00630863,0.01923174,-0.00838788,0.01176409,,,,,81.62,18.38,4.44,80.93,19.07,4.24,58.29,41.71,1.4,49926.807907,433041.720962,49926.807907,451324.477122,,,,,,,,
2023-03-17,0.07254,0.07726,0.07142,0.07642,545805485.0958,97787790,106499356,1235611,105063162,0.01,0.01,0.01,0.01,0.01176409,0.0165817,0.0029513,0.00457718,,,,,76.85,23.15,3.32,73.35,26.65,2.75,58.04,41.96,1.38,181381.690234,503219.706487,196297.17593,583290.697035,,,,,,,,
2023-03-18,0.07642,0.07895,0.07203,0.07294,635120227.2592,105063162,119135234,99447616,100154677,0.01,0.01,0.01,0.01,0.00457718,0.0179353,0.00387602,0.00427497,,,,,75.07,24.93,3.01,72.2,27.8,2.6,62.6,37.4,1.67,1617084.446382,111051.297519,1735528.419501,152563.087053,,,,,,,,
