candidate,seed,window_size,window_size_1d,profit_mean,profit_per_trade_mean,trade_count_mean,total_fees_mean,episode_max_dd_mean,termination_balance_insufficient_count,fees_profit_ratio
baseline_current,42,24,12,0.0,0.0,0.0,0.0,0.0,0,0.0
minimal_signal,42,48,6,-29.328359685532252,-0.1044518866656043,243.4,15.79116363669365,0.15292439688507337,0,0.5384264175020831
