candidate,profit_mean,profit_per_trade_mean,trade_count_mean,total_fees_mean,fees_profit_ratio,episode_max_dd_mean,termination_balance_insufficient_count
baseline_current,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minimal_signal,-29.328359685532252,-0.1044518866656043,243.4,15.79116363669365,0.5384264175020831,0.15292439688507337,0.0
