cnn_key,obs_key,channel,concept_key,variant,symbol_scope,normalized_name,mean_auc_binary,mean_macro_f1,mean_importance_pct,mean_signal_score,std_signal_score,specs_count,positive_signal_specs,mean_window_size,mean_horizon_k,signal_score_ci_low,signal_score_ci_high
5m_others,price_seq_others,DOGEUSDT_buy_volume_z_long,buy_volume,z_long,symbol,buy_volume_z_long,0.5304959376165969,0.442117309367473,0.011260907325401507,0.21296849039510948,0.0940861729299242,12,12,28.0,21.0,0.16517609898294067,0.2681990978992347
1d_others,price_seq_1d_others,1000PEPEUSDT_ret_1d_scale,ret_1d,scale,symbol,ret_1d_scale,0.4981783974178658,0.44287824013799154,0.0028006401463191587,0.21231339878651645,0.10624110305205425,12,12,28.0,21.0,0.16007819518445587,0.27153182315429164
5m_others,price_seq_others,SOLUSDT_long_short_ratio_z_short,long_short_ratio,z_short,symbol,long_short_ratio_z_short,0.5315481371938432,0.44189510365980955,0.02571352326909647,0.2118741966835028,0.09772387980660216,12,12,28.0,21.0,0.1657197912527805,0.2681996632240015
5m_others,price_seq_others,SOLUSDT_quote_volume_z_long,quote_volume,z_long,symbol,quote_volume_z_long,0.5108393326602584,0.4427268799242951,0.012064573595525693,0.21132708327407213,0.0941285714922381,12,12,28.0,21.0,0.16513791284530105,0.26669097370524375
5m_target,price_seq_target,close_z_long,close,z_long,global,close_z_long,0.49236709561271746,0.44287824013799154,0.12117518113457255,0.2109696006894842,0.09823146079344855,12,12,28.0,21.0,0.16488633200954897,0.2740331738121367
5m_others,price_seq_others,DOGEUSDT_volume_log_z,volume,log_z,symbol,volume_log_z,0.5177031450378261,0.4421955693623078,0.009902676163681791,0.21071502749642282,0.10199218368887122,12,12,28.0,21.0,0.1599194575195785,0.2657908613599404
5m_others,price_seq_others,ETHUSDT_long_short_ratio_z_short,long_short_ratio,z_short,symbol,long_short_ratio_z_short,0.5303913240929258,0.44280266202589647,0.025954279228701322,0.2104036305525155,0.11908544341633576,12,12,28.0,21.0,0.15536013871919707,0.28374732219736964
1d_others,price_seq_1d_others,ETHUSDT_open_z_short,open,z_short,symbol,open_z_short,0.5,0.44287824013799154,0.21759124856528603,0.20978998333998952,0.10576368566432924,12,12,28.0,21.0,0.16364999565907193,0.2769714205540255
5m_others,price_seq_others,SOLUSDT_buy_volume_z_long,buy_volume,z_long,symbol,buy_volume_z_long,0.4991318043554911,0.441879573741733,0.030412569495593747,0.2087212708901499,0.10777603996682757,12,12,28.0,21.0,0.1527691945872301,0.27032129030971047
1d_others,price_seq_1d_others,DOGEUSDT_buy_volume_z_long,buy_volume,z_long,symbol,buy_volume_z_long,0.5264817146098315,0.44287824013799154,0.00257201646090535,0.20700784868278568,0.10638003092636661,12,12,28.0,21.0,0.15486621274963586,0.27034408918596603
5m_target,price_seq_target,sell_volume_roc_1,sell_volume,roc_1,global,sell_volume_roc_1,0.44643533481605263,0.44108682894213885,0.1326040278733721,0.20613745627567556,0.12515554061874462,12,12,28.0,21.0,0.15191121727957857,0.2860868475594104
5m_target,price_seq_target,sell_volume_ema_12_48_spread,sell_volume,ema_12_48_spread,global,sell_volume_ema_12_48_spread,0.46739952533108736,0.4516717597496234,0.045954181997481906,0.2059909893105041,0.1016815481417444,12,12,28.0,21.0,0.15797511374276985,0.27026033945749756
5m_others,price_seq_others,DOGEUSDT_high_roc_12,high,roc_12,symbol,high_roc_12,0.5039967628878729,0.44156759453204386,0.009429896179284919,0.2031373295570431,0.10333523888135214,12,12,28.0,21.0,0.15344931452118732,0.2644592766350559
5m_others,price_seq_others,ETHUSDT_volume_log_z,volume,log_z,symbol,volume_log_z,0.5224612308730704,0.4426508930062029,0.030157697636411726,0.20292750038537477,0.10036956623054784,12,12,28.0,21.0,0.1565196992637643,0.26345890779028697
5m_others,price_seq_others,ETHUSDT_sell_volume_z_short,sell_volume,z_short,symbol,sell_volume_z_short,0.5200237381217434,0.44280266202589647,0.033773637895976615,0.201083261141729,0.10429535992662373,12,12,28.0,21.0,0.1523979046531411,0.26612143038833597
5m_others,price_seq_others,DOGEUSDT_volume_ratio_z_long,volume_ratio,z_long,symbol,volume_ratio_z_long,0.5112368934200304,0.4424241528987511,0.01163747063783028,0.20012093123496835,0.09858928093559687,12,12,28.0,21.0,0.15360959502319793,0.2607930009010434
5m_others,price_seq_others,DOGEUSDT_rsi_14,rsi_14,raw,symbol,rsi_14,0.4389325231810566,0.44272748942961543,0.013330166354998604,0.20003540151695168,0.10132546041709262,12,12,28.0,21.0,0.15509294612083366,0.2609804774898905
1d_others,price_seq_1d_others,1000PEPEUSDT_quote_volume_z_short,quote_volume,z_short,symbol,quote_volume_z_short,0.5231764282284516,0.44287824013799154,0.01251729257877079,0.19988767534761862,0.11189188366609669,12,12,28.0,21.0,0.1473497467730209,0.2662127742923245
5m_target,price_seq_target,long_short_ratio_z,long_short_ratio,z,global,long_short_ratio_z,0.4464727986120707,0.4609406296865585,0.09357451999858718,0.1995408106260799,0.10127444589165832,12,12,28.0,21.0,0.1510468549612221,0.2610241801878894
5m_target,price_seq_target,trades_z_long,trades,z_long,global,trades_z_long,0.5006673873616999,0.4423465224195298,0.04479933466470876,0.19878049555775337,0.10422375563662721,12,12,28.0,21.0,0.14945977342122374,0.26373900468985917
5m_target,price_seq_target,volume_ratio_z_short,volume_ratio,z_short,global,volume_ratio_z_short,0.4835016654451629,0.4426535211963871,0.08339578429954454,0.19876751549284968,0.0980559177852701,12,12,28.0,21.0,0.154808331078361,0.2611146842656873
5m_others,price_seq_others,SOLUSDT_sell_volume_z_short,sell_volume,z_short,symbol,sell_volume_z_short,0.5010741245430486,0.44280306754171045,0.026399087229771672,0.1980484010216561,0.0994833410789635,12,12,28.0,21.0,0.1481575948467886,0.25594854060438865
5m_target,price_seq_target,ret_15m_z_short,ret_15m,z_short,global,ret_15m_z_short,0.4832894736576598,0.43816905815513013,0.09622386283175592,0.1979628562888094,0.10080630928629365,12,12,28.0,21.0,0.1508078907089636,0.26133165322714774
5m_others,price_seq_others,1000PEPEUSDT_up_volume_ratio_12,up_volume_ratio_12,raw,symbol,up_volume_ratio_12,0.4733548672642376,0.44287824013799154,0.015952534014585386,0.19561533130929173,0.09969444640123232,12,12,28.0,21.0,0.1465216754059825,0.2541846116049285
5m_others,price_seq_others,SOLUSDT_volume_ratio_z_long,volume_ratio,z_long,symbol,volume_ratio_z_long,0.47580695268854695,0.4397715932519031,0.0301637517940863,0.19558558409914514,0.10014812214810007,12,12,28.0,21.0,0.1490177268290504,0.25680442481352406
5m_target,price_seq_target,volume_log_z_short,volume_log,z_short,global,volume_log_z_short,0.4828456666773679,0.441801277959057,0.07461333177067116,0.1946895931957893,0.10190672490176018,12,12,28.0,21.0,0.14718312016012064,0.25985611832047245
5m_others,price_seq_others,SOLUSDT_rsi_14,rsi_14,raw,symbol,rsi_14,0.49822993448977665,0.4413269549602732,0.03726653413332726,0.19398861326796787,0.09996483908580062,12,12,28.0,21.0,0.14746088511492522,0.25375196215709517
5m_others,price_seq_others,DOGEUSDT_sell_volume_z_short,sell_volume,z_short,symbol,sell_volume_z_short,0.4948268614757341,0.44157766598662845,0.01260421348829871,0.1939853443609942,0.10317583546619784,12,12,28.0,21.0,0.14328409946134818,0.25437762530049673
5m_others,price_seq_others,DOGEUSDT_long_short_ratio_z_short,long_short_ratio,z_short,symbol,long_short_ratio_z_short,0.4382038619389705,0.4414145489244528,0.011038112125595944,0.19388932312644616,0.10324175101801762,12,12,28.0,21.0,0.1414242807544824,0.2574064058645774
1d_others,price_seq_1d_others,sopr_roc_12,sopr,roc_12,global,sopr_roc_12,0.4858919794330465,0.44287824013799154,0.003938178163780125,0.1930980993515936,0.11006103786384558,12,12,28.0,21.0,0.1405881770453247,0.2596996925179753
5m_others,price_seq_others,ETHUSDT_quote_volume_z_long,quote_volume,z_long,symbol,quote_volume_z_long,0.4900361531640936,0.44203552353837444,0.022945503878507995,0.19285562355109628,0.10006084502564734,12,12,28.0,21.0,0.14626283633987672,0.2548392219703788
5m_others,price_seq_others,SOLUSDT_high_roc_12,high,roc_12,symbol,high_roc_12,0.4895798021815378,0.44265170732801407,0.022190861860150127,0.19093601194115306,0.0998044907414322,12,12,28.0,21.0,0.1456743970489853,0.2538839471308131
5m_others,price_seq_others,DOGEUSDT_volume_impact_scale,volume_impact,scale,symbol,volume_impact_scale,0.49081821618480187,0.4426508930062029,0.019234278440971923,0.1906980280611884,0.10039756585906906,12,12,28.0,21.0,0.14471847113921152,0.25378312655693697
5m_others,price_seq_others,SOLUSDT_volume_log_z,volume,log_z,symbol,volume_log_z,0.44362951179125004,0.4426508930062029,0.03297417971305066,0.1896533258625338,0.10503981023602228,12,12,28.0,21.0,0.14265773766765516,0.25599045678504073
5m_others,price_seq_others,ETHUSDT_buy_volume_z_long,buy_volume,z_long,symbol,buy_volume_z_long,0.5039991404063018,0.442576534731733,0.02941425731802534,0.18957732823598883,0.10006794516393408,12,12,28.0,21.0,0.1445995497893125,0.25303638514625754
5m_others,price_seq_others,1000PEPEUSDT_trades_roc_12,trades,roc_12,symbol,trades_roc_12,0.42711770883969313,0.44287824013799154,0.016149972124215876,0.1882357570983254,0.10149767912760885,12,12,28.0,21.0,0.14011452783302072,0.2501217617230954
5m_others,price_seq_others,DOGEUSDT_trades_z_short,trades,z_short,symbol,trades_z_short,0.4806634697607417,0.44157766598662845,0.0064110040317771864,0.18793295110144456,0.10278918170448068,12,12,28.0,21.0,0.1389726805175064,0.25020542518882666
5m_others,price_seq_others,1000PEPEUSDT_rsi_14,rsi_14,raw,symbol,rsi_14,0.4216487764505879,0.44287824013799154,0.02175613837392061,0.18756115397476278,0.12120689536063668,12,12,28.0,21.0,0.1352565729729208,0.26522523878779725
