scenario,profit_mean,profit_per_trade_mean,trade_count_mean,total_fees_mean,episode_max_dd_mean,fees_profit_ratio
baseline,265.222318840062,0.3532518788888997,641.8333333333334,136.23010425373474,0.27409106305135533,0.5136449483193234
mask__price_seq_target,204.34283128308752,0.2913576676754576,624.0,122.58834580981265,0.28949477619383057,0.599915079183689
mask__price_seq_others,181.2137884630156,0.10024963131711805,540.3333333333334,113.6815361095284,0.2875179562586154,0.6273338087224525
mask__price_seq_1d_target,37.23120646755304,-0.08587758082228618,669.0,91.79804089988865,0.27132840639269706,2.4656209027201563
mask__price_seq_1d_others,80.56386127328088,0.14041500094566797,657.5,88.37039246084656,0.3133903983704566,1.096898672235745
candidate__baseline_current,270.4620515070109,0.3728783497191592,690.3333333333334,141.28551519910684,0.26753117731087733,0.5223857262483437
candidate__ultra_minimal,104.69285925924085,0.1777294157451733,658.5,91.50243233286875,0.3046451833769818,0.8740083419279827
candidate__minimal_signal,108.64276856626778,0.17916576482102842,630.3333333333334,93.04315042399827,0.2534691272298536,0.8564136541425271
candidate__minimal_plus_entry_filter,89.18625774276832,0.1648332157286065,575.1666666666666,81.07295154840702,0.27785534497070613,0.9090296375282192
