scenario,delta_profit_mean,delta_profit_per_trade_mean,delta_trade_count_mean,delta_total_fees_mean,delta_episode_max_dd_mean,delta_profit_per_trade_ci_low,delta_profit_per_trade_ci_high
candidate__baseline_current,5.239732666948972,0.019626470830259393,48.5,5.055410945372109,-0.006559885740477954,-0.028932492136720785,0.0937373050333088
candidate__minimal_plus_entry_filter,-176.03606109729364,-0.1884186631602932,-66.66666666666667,-55.15715270532771,0.003764281919350789,-0.4595956569272457,0.07331020520423599
candidate__minimal_signal,-156.57955027379418,-0.1740861140678713,-11.5,-43.186953829736446,-0.020621935821501677,-0.4297332723325602,0.078540631423229
candidate__ultra_minimal,-160.5294595808211,-0.1755224631437264,16.666666666666668,-44.72767192086598,0.030554120325626506,-0.46202433123375997,0.10215819512292797
mask__price_seq_1d_others,-184.65845756678107,-0.21283687794323178,15.666666666666666,-47.85971179288816,0.039299335319101326,-0.4908878477760858,0.05907562576709378
mask__price_seq_1d_target,-227.99111237250887,-0.4391294597111859,27.166666666666668,-44.432063353846075,-0.002762656658658255,-0.6491754372988237,-0.23964525695343988
mask__price_seq_others,-84.00853037704636,-0.2530022475717817,-101.5,-22.548568144206314,0.01342689320726014,-0.5350625681718911,-0.08710055599539523
mask__price_seq_target,-60.879487556974404,-0.06189421121344214,-17.833333333333332,-13.641758443922072,0.015403713142475286,-0.13652358112619972,-0.007968580104392544
