window_size,window_size_1d,horizon_k,recent_bars,n_valid,n_train,n_valid_split,n_test,binary_positive_rate_train,binary_positive_rate_test,cnn_key,obs_key,channel,auc_binary,macro_f1,importance_sum,importance_pct,signal_score,concept_key,variant,symbol_scope,normalized_name
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,ret_15m_scale,0.5087875417130145,0.49748743718592964,60.0,0.015826958586125033,0.2092778062040037,ret_15m,scale,global,ret_15m_scale
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,body_z,0.5077196885428253,0.49748743718592964,57.0,0.015035610656818781,0.20819803616143748,body,z,global,body_z
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,range_atr,0.5013125695216908,0.49748743718592964,52.0,0.013716697441308361,0.20223379206008982,range_atr,raw,global,range_atr
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,ret_1_z_short,0.5420022246941045,0.49748743718592964,40.0,0.010551305724083356,0.23837967295767845,ret_1,z_short,global,ret_1_z_short
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,ret_15m_z_short,0.5510122358175751,0.49748743718592964,42.0,0.011078871010287523,0.2465678177617326,ret_15m,z_short,global,ret_15m_z_short
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,volume_log_z_short,0.5405561735261402,0.49748743718592964,48.0,0.012661566868900026,0.23739476607823304,volume_log,z_short,global,volume_log_z_short
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,volume_log_scale,0.576729699666296,0.49748743718592964,46.0,0.012134001582695859,0.2698718048114426,volume_log,scale,global,volume_log_scale
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,quote_volume_log_z,0.5349054505005562,0.49748743718592964,83.0,0.021893959377472964,0.23369397423149335,quote_volume,log_z,global,quote_volume_log_z
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,amihud_z,0.5404671857619577,0.49748743718592964,47.0,0.012397784225797943,0.23727510969400353,amihud,z,global,amihud_z
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,long_short_ratio_z,0.47875417130144604,0.49748743718592964,19.0,0.005011870218939594,0.19974675540721282,long_short_ratio,z,global,long_short_ratio_z
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,trades_per_volume_z,0.521245828698554,0.49748743718592964,41.0,0.010815088367185439,0.21973848395814824,trades_per_volume,z,global,trades_per_volume_z
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,volume_impact_scale,0.5321913236929923,0.49748743718592964,59.0,0.01556317594302295,0.23030164258951838,volume_impact,scale,global,volume_impact_scale
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,ema_48_slope_z,0.5265406006674083,0.49748743718592964,65.0,0.017145871801635452,0.22545339624528463,ema_48_slope,z,global,ema_48_slope_z
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,rv_ratio_scale,0.48375973303670744,0.49748743718592964,30.0,0.007913479293062516,0.20018199676833126,rv_ratio,scale,global,rv_ratio_scale
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,dist_to_support_96_atr,0.4710567296996663,0.49748743718592964,32.0,0.008441044579266685,0.20026113156126188,dist_to_support_96_atr,raw,global,dist_to_support_96_atr
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,dist_to_resistance_96_atr_scale,0.5140823136818687,0.49748743718592964,16.0,0.0042205222896333425,0.21230213553149874,dist_to_resistance_96_atr,scale,global,dist_to_resistance_96_atr_scale
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,price_jump_z,0.46460511679644056,0.49748743718592964,30.0,0.007913479293062516,0.20018199676833126,price_jump,z,global,price_jump_z
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,ob_depth_imbalance_scale,0.5595328142380422,0.49748743718592964,25.0,0.006594566077552097,0.2535636926002427,ob_depth_imbalance,scale,global,ob_depth_imbalance_scale
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,ob_slope_ask_z,0.5042936596218021,0.49748743718592964,60.0,0.015826958586125033,0.20523331232191247,ob_slope_ask,z,global,ob_slope_ask_z
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,alts_rel_ret_15m_abs_mean_scale,0.5064738598442714,0.49748743718592964,116.0,0.03059878659984173,0.20941126672419239,alts_rel_ret_15m_abs_mean,scale,global,alts_rel_ret_15m_abs_mean_scale
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,alts_trend_up_ratio,0.48627363737486096,0.49748743718592964,19.0,0.005011870218939594,0.19974675540721282,alts_trend_up,ratio,global,alts_trend_up_ratio
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,alts_volume_log_mean_scale,0.5527919911012236,0.49748743718592964,21.0,0.0055394355051437616,0.24733868219124466,alts_volume_log_mean,scale,global,alts_volume_log_mean_scale
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,dist_to_long_liq_zone_atr,0.5534149054505004,0.49748743718592964,72.0,0.01899235030335004,0.24991724232532478,dist_to_long_liq_zone_atr,raw,global,dist_to_long_liq_zone_atr
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,open_z_short,0.5463403781979977,0.49748743718592964,61.0,0.016090741229227115,0.24311492643695393,open,z_short,global,open_z_short
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,open_z_long,0.439377085650723,0.49748743718592964,66.0,0.017409654444737535,0.2016064230410825,open,z_long,global,open_z_long
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,open_roc_1,0.6223359288097887,0.49748743718592964,76.0,0.020047480875758375,0.3121044329345455,open,roc_1,global,open_roc_1
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,open_roc_12,0.5224026696329255,0.49748743718592964,95.0,0.02505935109469797,0.2229162802082095,open,roc_12,global,open_roc_12
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,open_ema_12_48_spread,0.46809788654060064,0.49748743718592964,85.0,0.02242152466367713,0.20235820357392345,open,ema_12_48_spread,global,open_ema_12_48_spread
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,high_z_short,0.40191323692992215,0.49748743718592964,52.0,0.013716697441308361,0.20105247949056812,high,z_short,global,high_z_short
12,6,6,6,2000,1400,300,300,0.49642857142857144,0.48333333333333334,5m_target,price_seq_target,high_z_long,0.504293659621802,0.49748743718592964,73.0,0.019256132946452124,0.20574768847596145,high,z_long,global,high_z_long
