cnn_key,obs_key,channel,concept_key,variant,symbol_scope,normalized_name,mean_auc_binary,mean_macro_f1,mean_importance_pct,mean_signal_score,std_signal_score,specs_count,positive_signal_specs,mean_window_size,mean_horizon_k,signal_score_ci_low,signal_score_ci_high
5m_others,price_seq_others,1000PEPEUSDT_low_z_long,low,z_long,symbol,low_z_long,0.5981478266801903,0.48849613067892345,0.0016581200698962747,0.2929390304824939,0.07045503083524941,12,12,28.0,21.0,0.25766493039003696,0.3301508636364061
5m_others,price_seq_others,DOGEUSDT_ret_15m_scale,ret_15m,scale,symbol,ret_15m_scale,0.5710093604516796,0.47549364854729625,0.0019424655981902135,0.27662949824668026,0.06645462621265362,12,12,28.0,21.0,0.23801621249604338,0.31084160858343185
5m_others,price_seq_others,SOLUSDT_volume_ratio_roc_12,volume_ratio,roc_12,symbol,volume_ratio_roc_12,0.5785723606771969,0.47824431589154787,0.0022158246037209156,0.27573431754391137,0.04779464966533131,12,12,28.0,21.0,0.24775316245004625,0.2987302004181817
1d_others,price_seq_1d_others,ETHUSDT_volume_ratio_roc_12,volume_ratio,roc_12,symbol,volume_ratio_roc_12,0.5560965741252412,0.47870843916268874,0.2075167651733918,0.2732783206143111,0.03323106627303665,12,12,28.0,21.0,0.25769676531251584,0.29162017090915554
5m_others,price_seq_others,SOLUSDT_volume_ratio_ema_12_48_spread,volume_ratio,ema_12_48_spread,symbol,volume_ratio_ema_12_48_spread,0.5866624172895832,0.4810482684100473,0.0012166442902910204,0.2716658327383765,0.06613440577384273,12,12,28.0,21.0,0.23640938003670106,0.30941992467476215
5m_others,price_seq_others,SOLUSDT_volume_ratio_z_short,volume_ratio,z_short,symbol,volume_ratio_z_short,0.5865547294082448,0.47870843916268874,0.004295107095334407,0.270026898196796,0.032501357010083096,12,12,28.0,21.0,0.253250511810112,0.28796666733214593
5m_others,price_seq_others,1000PEPEUSDT_high_roc_1,high,roc_1,symbol,high_roc_1,0.5860195512307792,0.47870843916268874,0.005675917034481102,0.2697523593279489,0.05174302352424816,12,12,28.0,21.0,0.24417771765781968,0.30021756483843154
5m_target,price_seq_target,trades_z_short,trades,z_short,global,trades_z_short,0.5691191036311721,0.47870843916268874,0.014542436829024766,0.26831424409445453,0.07374435620442771,12,12,28.0,21.0,0.22869332996192956,0.30458840393888553
5m_others,price_seq_others,ETHUSDT_rsi_14,rsi_14,raw,symbol,rsi_14,0.5841067104826466,0.4783856297540641,0.006492962750179976,0.2680242357485346,0.0375959165669307,12,12,28.0,21.0,0.24624813521455857,0.2856402656018203
5m_others,price_seq_others,ETHUSDT_volume_log_z,volume,log_z,symbol,volume_log_z,0.5952953405159872,0.4521976607164926,0.006220760600490029,0.2675779848410591,0.03203275729246795,12,12,28.0,21.0,0.24994445660082568,0.28307826857657464
